S.No.,pH,EC_(dS/m),Organic_Carbon_(%),Phosphorus_P2O5_(Kg/ha),Potassium_K2O_(Kg/ha),Zinc_Zn_(ppm),Iron_Fe_(ppm),Copper_Cu_(ppm),Manganese_Mn_(ppm)
1,8.5,0.18,0.1,38.0,243.0,0.28,2.62,0.34,5.14
2,8.2,0.13,0.14,44.0,339.0,0.3,3.14,0.44,4.9
3,8.7,1.9,0.21,28.0,212.0,0.4,3.04,0.5,5.06
4,8.5,0.31,0.14,41.0,408.0,0.36,2.88,0.54,5.0
5,8.6,0.36,0.17,31.0,265.0,0.32,3.16,0.46,4.78
6,8.5,0.13,0.16,44.0,183.0,0.3,3.42,0.46,5.1
7,8.5,0.26,0.22,51.0,395.0,0.32,3.06,0.46,5.24
8,8.3,0.29,0.21,46.0,367.0,0.36,3.5,0.46,5.24
9,8.2,0.7,0.19,46.0,367.0,0.36,3.5,0.46,5.24
10,8.7,0.13,0.14,21.0,296.0,0.3,3.2,0.42,5.04
11,8.8,0.11,0.15,44.0,183.0,0.4,4.08,0.44,5.18
12,8.3,0.15,0.21,49.0,183.0,0.34,2.94,0.38,4.4
13,9.4,0.14,0.24,44.0,198.0,0.32,2.7,0.36,3.9
14,8.3,0.17,0.1,54.0,437.0,0.44,3.4,0.48,5.9
15,8.5,0.17,0.17,26.0,268.0,0.36,3.9,0.48,5.0
16,8.5,0.14,0.14,26.0,282.0,0.34,3.92,0.46,4.92
17,8.5,0.22,0.12,38.0,254.0,0.34,2.72,0.42,4.96
18,8.7,0.2,0.18,59.0,266.0,0.3,2.6,0.36,4.82
19,8.7,0.16,0.19,49.0,169.0,0.38,3.24,0.36,4.8
20,8.4,0.19,0.21,41.0,296.0,0.36,3.82,0.44,5.04
21,9.3,0.5,0.18,54.0,268.0,0.38,3.2,0.44,5.02
22,9.5,0.54,0.12,36.0,296.0,0.38,3.0,0.42,5.1
23,8.4,0.12,0.12,31.0,282.0,0.28,3.1,0.42,4.88
24,9.5,0.12,0.21,31.0,198.0,0.34,2.94,0.44,5.02
25,9.6,0.14,0.15,36.0,183.0,0.32,2.86,0.54,4.88
26,8.6,0.1,0.16,41.0,183.0,0.32,3.26,0.4,4.32
27,8.5,0.19,0.16,26.0,212.0,0.42,2.96,0.46,4.88
28,8.4,0.11,0.14,28.0,198.0,0.4,3.1,0.44,4.92
29,8.4,0.22,0.12,28.0,240.0,0.38,3.4,0.46,5.02
30,8.6,0.12,0.15,38.0,212.0,0.32,3.74,0.4,5.16
31,8.5,1.04,0.21,49.0,169.0,0.34,3.38,0.52,4.7
32,8.5,0.13,0.17,44.0,295.0,0.3,3.1,0.46,4.92
33,8.2,0.81,0.14,41.0,301.0,0.28,3.42,0.4,5.24
