S.No.,pH,EC_(dS/m),Organic_Carbon_(%),Phosphorus_P2O5_(Kg/ha),Potassium_K2O_(Kg/ha),Zinc_Zn_(ppm),Iron_Fe_(ppm),Copper_Cu_(ppm),Manganese_Mn_(ppm),Required_Actions
1,8.5,0.18,0.1,38.0,243.0,0.28,2.62,0.34,5.14,Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2,8.2,0.13,0.14,44.0,339.0,0.3,3.14,0.44,4.9,Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
3,8.7,1.9,0.21,28.0,212.0,0.4,3.04,0.5,5.06,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | E.C. is High/Critical -> Improve drainage & avoid saline water | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
4,8.5,0.31,0.14,41.0,408.0,0.36,2.88,0.54,5.0,Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
5,8.6,0.36,0.17,31.0,265.0,0.32,3.16,0.46,4.78,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
6,8.5,0.13,0.16,44.0,183.0,0.3,3.42,0.46,5.1,Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
7,8.5,0.26,0.22,51.0,395.0,0.32,3.06,0.46,5.24,Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
8,8.3,0.29,0.21,46.0,367.0,0.36,3.5,0.46,5.24,Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
9,8.2,0.7,0.19,46.0,367.0,0.36,3.5,0.46,5.24,Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
10,8.7,0.13,0.14,21.0,296.0,0.3,3.2,0.42,5.04,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Phosphorus is Low -> Increase DAP / Single Super Phosphate (SSP) | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
11,8.8,0.11,0.15,44.0,183.0,0.4,4.08,0.44,5.18,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
12,8.3,0.15,0.21,49.0,183.0,0.34,2.94,0.38,4.4,Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
13,9.4,0.14,0.24,44.0,198.0,0.32,2.7,0.36,3.9,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
14,8.3,0.17,0.1,54.0,437.0,0.44,3.4,0.48,5.9,Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
15,8.5,0.17,0.17,26.0,268.0,0.36,3.9,0.48,5.0,Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
16,8.5,0.14,0.14,26.0,282.0,0.34,3.92,0.46,4.92,Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
17,8.5,0.22,0.12,38.0,254.0,0.34,2.72,0.42,4.96,Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
18,8.7,0.2,0.18,59.0,266.0,0.3,2.6,0.36,4.82,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
19,8.7,0.16,0.19,49.0,169.0,0.38,3.24,0.36,4.8,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
20,8.4,0.19,0.21,41.0,296.0,0.36,3.82,0.44,5.04,Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
